Entity,Country,sharePlastics,plasticWaste
Agno,Philippines,0.469647499,29587790
Agusan,Philippines,0.469647499,29587790
Bharathappuzha,India,0.357340488,22512450
Cagayan River,Philippines,0.234823749,14793900
Cagayan de Oro,Philippines,0.265452934,16723530
Chao Phraya,Thailand,0.408389129,25728520
Chenzhen River,China,0.296082119,18653170
Chilyar River,India,0.234823749,14793900
Cilliwung,Indonesia,0.285872391,18009960
Davao River,Philippines,0.265452934,16723530
Douala Estuary,Cameroon,0.234823749,14793900
Ebrie Lagoon,Cote d'Ivoire,0.336921032,21226030
Ganges,India,0.633003151,39879200
Hamulauon,Philippines,0.224614021,14150680
Huangpu,China,0.367550217,23155660
Hugli,India,0.398179401,25085300
Iloilo,Philippines,0.428808586,27014940
Imus,Philippines,0.316501575,19939600
Jalaur River,Philippines,0.234823749,14793900
Karnaphuli,Bangladesh,0.265452934,16723530
Kelani,Sri Lanka,0.275662662,17366750
Kelantan River,Malaysia,0.255243206,16080320
Klang,Malaysia,1.327264671,83617670
Lagos Harbour,Nigeria,0.408389129,25728520
Langat,Malaysia,0.285872391,18009960
Libmanan,Philippines,0.724890705,45668110
Malad Creek,India,0.275662662,17366750
Malaking Tubig,Philippines,0.255243206,16080320
Meycauayan,Philippines,1.225167388,77185550
Mithi River,India,0.224614021,14150680
Msimbazi River,Tanzania,0.326711304,20582810
Pampanga,Philippines,0.949504726,59818800
Panvel Creek,India,0.255243206,16080320
Paranaque,Philippines,0.449228042,28301370
Pasig,Philippines,6.43212879,405224100
Pazundaung Creek,Myamnar,0.367550217,23155660
Periyar River,India,0.234823749,14793900
Rio Grande de Mindanao,Philippines,0.541115597,34090280
Rio Ozama,Dominican Republic,0.224614021,14150680
Rio Pavuna,Brazil,0.265452934,16723530
Sarawak,Malaysia,0.336921032,21226030
Soai Rap,Vietnam,0.418598858,26371730
Sungai Kuantan,Malaysia,0.224614021,14150680
Tambo,Philippines,0.255243206,16080320
Tullahan,Philippines,1.327264671,83617670
Ulhas,India,1.327264671,83617670
Wouri River,Cameroon,0.285872391,18009960
Yangon River,Myamnar,0.255243206,16080320
Zapote,Philippines,0.275662662,17366750
Zhujiang,China,0.255243206,16080320
